"method_id","method_header","method_qualified_name","method_start_line","method_end_line"
"CL-000195","void doTestReplace(String expectedResult, String replaceTemplate, boolean substring)","org.apache.commons.lang3.text.StrSubstitutorTest.doTestReplace(Ljava/lang/String;Ljava/lang/String;Z)V","642","713"
"CL-000196","void setUp()","org.apache.commons.lang3.text.StrSubstitutorTest.setUp()V","43","48"
"CL-000197","void tearDown()","org.apache.commons.lang3.text.StrSubstitutorTest.tearDown()V","50","53"
"CL-000198","void testNull()","org.apache.commons.lang3.builder.JsonToStringStyleTest.testNull()V","51","54"
"CL-000199","String toString()","org.apache.commons.lang3.builder.ToStringBuilder.toString()Ljava/lang/String;","1055","1063"
"CL-000200","Object getObject()","org.apache.commons.lang3.builder.ToStringBuilder.getObject()Ljava/lang/Object;","1020","1022"
"CL-000201","StringBuffer getStringBuffer()","org.apache.commons.lang3.builder.ToStringBuilder.getStringBuffer()Ljava/lang/StringBuffer;","1029","1031"
"CL-000202","ToStringStyle getStyle()","org.apache.commons.lang3.builder.ToStringBuilder.getStyle()Lorg/apache/commons/lang3/builder/ToStringStyle;","1041","1043"
"CL-000203","String getNullText()","org.apache.commons.lang3.builder.ToStringStyle.getNullText()Ljava/lang/String;","1988","1990"
"CL-000204","void appendEnd(StringBuffer buffer, Object object)","org.apache.commons.lang3.builder.ToStringStyle.appendEnd(Ljava/lang/StringBuffer;Ljava/lang/Object;)V","425","431"
"CL-000205","void setUp()","org.apache.commons.lang3.builder.JsonToStringStyleTest.setUp()V","39","42"
"CL-000206","void tearDown()","org.apache.commons.lang3.builder.JsonToStringStyleTest.tearDown()V","44","47"
"CL-000207","void testInputHasLessCharacters()","org.apache.commons.lang3.time.FastDateParser_MoreOrLessTest.testInputHasLessCharacters()V","79","85"
"CL-000208","FastDateParser(String pattern, TimeZone timeZone, Locale locale, Date centuryStart)","org.apache.commons.lang3.time.FastDateParser.<init>(Ljava/lang/String;Ljava/util/TimeZone;Ljava/util/Locale;Ljava/util/Date;)V","130","154"
"CL-000209","void init(Calendar definingCalendar)","org.apache.commons.lang3.time.FastDateParser.init(Ljava/util/Calendar;)V","162","173"
"CL-000210","StrategyParser(String pattern, Calendar definingCalendar)","org.apache.commons.lang3.time.FastDateParser$StrategyParser.<init>(Ljava/lang/String;Ljava/util/Calendar;)V","208","211"
"CL-000211","StrategyAndWidth getNextStrategy()","org.apache.commons.lang3.time.FastDateParser$StrategyParser.getNextStrategy()Lorg/apache/commons/lang3/time/FastDateParser$StrategyAndWidth;","213","223"
"CL-000212","void testGets()","org.apache.commons.lang3.math.FractionTest.testGets()V","581","602"
"CL-000213","int getProperWhole()","org.apache.commons.lang3.math.Fraction.getProperWhole()I","400","402"
"CL-000214","int getProperNumerator()","org.apache.commons.lang3.math.Fraction.getProperNumerator()I","385","387"
